"PUBLIC_CONTACT_ID","照合企業名","公開法人名","旧法人名","証券コード","照合所在地","郵便番号","本社所在地","登記・本店所在地","電話番号","電話番号数字","電話種別","電話用途","代表電話フラグ","補助電話番号","補助電話用途","公式サイトURL","根拠URL","根拠ページ","根拠概要","出典区分","信頼度","確認日","備考"
"PC-20260821-001","株式会社NTTドコモ","株式会社NTTドコモ","","","東京都千代田区永田町2丁目11番1号","100-6150","東京都千代田区永田町2丁目11番1号 山王パークタワー","","03-5156-1111","0351561111","代表電話","会社代表","1","","","https://www.docomo.ne.jp/","https://www.docomo.ne.jp/corporate/about/","会社案内 | NTTドコモ","公式会社案内に所在地と代表電話を掲載。","official_company_profile","1.0","2026-08-21",""
"PC-20260821-002","KDDI株式会社","KDDI株式会社","","9433","東京都新宿区西新宿2丁目3番2号","108-8618","東京都港区高輪2丁目21番1号 THE LINKPILLAR 1 NORTH","東京都新宿区西新宿2丁目3番2号","03-3347-0077","0333470077","本社代表","会社代表","1","","","https://www.kddi.com/","https://www.kddi.com/corporate/","企業情報 | KDDI株式会社","公式企業情報に現本社、本店所在地、本社代表電話を掲載。","official_company_profile","1.0","2026-08-21","照合には登記上の本店所在地を使用。"
"PC-20260821-003","ソフトバンク株式会社","ソフトバンク株式会社","","9434","東京都港区海岸1丁目7番1号","105-7529","東京都港区海岸一丁目7番1号","","03-6889-2000","0368892000","代表電話","会社代表","1","","","https://www.softbank.jp/corp/","https://www.softbank.jp/corp/aboutus/profile/","会社概要 | ソフトバンク","公式会社概要に本社所在地と代表電話番号を掲載。","official_company_profile","1.0","2026-08-21",""
"PC-20260821-004","楽天グループ株式会社","楽天グループ株式会社","","4755","東京都世田谷区玉川1丁目14番1号","158-0094","東京都世田谷区玉川一丁目14番1号 楽天クリムゾンハウス","","050-5581-6910","05055816910","代表電話","会社代表","1","050-5846-8091","サービス全般の案内","https://corp.rakuten.co.jp/","https://corp.rakuten.co.jp/about/","会社概要 | 楽天グループ株式会社","公式会社概要に本社所在地と代表電話を掲載。","official_company_profile","1.0","2026-08-21","補助番号は代表電話と用途を分離。"
"PC-20260821-005","SCSK株式会社","SCSK株式会社","","","東京都江東区豊洲3丁目2番20号","135-8110","東京都江東区豊洲3丁目2番20号 豊洲フロント","","03-5166-2500","0351662500","本社電話","豊洲本社","0","","","https://www.scsk.jp/","https://www.scsk.jp/corp/base.html","事業所一覧 | SCSK株式会社","公式事業所一覧に豊洲本社の住所と電話番号を掲載。","official_office_page","1.0","2026-08-21","公式表記が代表電話ではないため本社電話として分類。"
"PC-20260821-006","TIS株式会社","TISI株式会社","TIS株式会社","","東京都新宿区西新宿8丁目17番1号","160-0023","東京都新宿区西新宿8丁目17番1号 住友不動産新宿グランドタワー","","0800-600-9810","08006009810","サービス窓口","サービス問い合わせ","0","050-5816-9805","携帯電話・IP電話からの問い合わせ","https://www.tisi.jp/","https://www.tisi.jp/company/information/","会社概要 | TISI株式会社","公式企業情報に所在地と問い合わせ電話番号を掲載。","official_company_profile","1.0","2026-08-21","社名変更後の公開法人名を別列に保持。"
"PC-20260821-007","株式会社野村総合研究所","株式会社野村総合研究所","","4307","東京都千代田区大手町1丁目9番2号","100-0004","東京都千代田区大手町1丁目9番2号 大手町フィナンシャルシティ グランキューブ","","03-5533-2111","0355332111","代表電話","会社代表","1","","","https://www.nri.com/jp/","https://www.nri.com/jp/company/info.html","会社概要 | 野村総合研究所","公式会社概要に本社所在地と代表電話を掲載。","official_company_profile","1.0","2026-08-21",""
"PC-20260821-008","エムスリー株式会社","エムスリー株式会社","","2413","東京都港区赤坂1丁目11番44号","107-0052","東京都港区赤坂1丁目11番44号 赤坂インターシティ","","03-6229-8900","0362298900","本社電話","本社窓口","0","","","https://corporate.m3.com/","https://corporate.m3.com/corporate/","会社概要 | エムスリー株式会社","公式会社概要に所在地とTELを掲載。","official_company_profile","1.0","2026-08-21","公式表記が代表電話ではないため本社電話として分類。"
"PC-20260821-009","株式会社SHIFT","株式会社SHIFT","","3697","東京都港区麻布台1丁目3番1号","106-0041","東京都港区麻布台1丁目3番1号 麻布台ヒルズ 森JPタワー","","03-6809-1128","0368091128","サービス問い合わせ","フリーダイヤルを利用できない場合の問い合わせ","0","0120-142-117","サービスの依頼・問い合わせ","https://www.shiftinc.jp/","https://service.shiftinc.jp/contact/","お問い合わせ | 株式会社SHIFT","公式問い合わせページにフリーダイヤルと代替電話を用途付きで掲載。","official_contact_page","1.0","2026-08-21","会社代表ではなく問い合わせ用途。"
"PC-20260821-010","株式会社大塚商会","株式会社大塚商会","","4768","東京都千代田区飯田橋2丁目18番4号","102-8573","東京都千代田区飯田橋2丁目18番4号","","03-3264-7111","0332647111","大代表","会社代表","1","","","https://www.otsuka-shokai.co.jp/","https://www.otsuka-shokai.co.jp/corporate/about/outline/","会社概要 | 大塚商会","公式会社概要に本社所在地と大代表電話を掲載。","official_company_profile","1.0","2026-08-21",""
"PC-20260821-011","日鉄ソリューションズ株式会社","日鉄ソリューションズ株式会社","","2327","東京都港区虎ノ門1丁目17番1号","105-6417","東京都港区虎ノ門1丁目17番1号 虎ノ門ヒルズビジネスタワー","","03-6899-6000","0368996000","代表電話","会社代表","1","","","https://www.nssol.nipponsteel.com/","https://www.nssol.nipponsteel.com/corporate/overview.html","会社概要 | 日鉄ソリューションズ","公式会社概要に本社所在地と代表電話を掲載。","official_company_profile","1.0","2026-08-21",""
"PC-20260821-012","伊藤忠テクノソリューションズ株式会社","伊藤忠テクノソリューションズ株式会社","","","東京都港区虎ノ門4丁目1番1号","105-6950","東京都港区虎ノ門4丁目1番1号 神谷町トラストタワー","","03-6403-6000","0364036000","代表電話","会社代表","1","","","https://www.ctc-g.co.jp/","https://www.ctc-g.co.jp/company/profile.html","会社概要 | 伊藤忠テクノソリューションズ","公式会社概要に本社所在地と代表電話を掲載。","official_company_profile","1.0","2026-08-21",""
