code,name,level,parent_code,path,revision,source_url,is_active
G,情報通信業,major,,G,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/G,1
37,通信業,middle,G,G/37,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/37,1
370,管理、補助的経済活動を行う事業所（37通信業）,small,37,G/37/370,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/370,1
3700,主として管理事務を行う本社等,detail,370,G/37/370/3700,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3700,1
3709,その他の管理、補助的経済活動を行う事業所,detail,370,G/37/370/3709,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3709,1
371,固定電気通信業,small,37,G/37/371,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/371,1
3711,地域電気通信業（有線放送電話業を除く）,detail,371,G/37/371/3711,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3711,1
3712,長距離電気通信業,detail,371,G/37/371/3712,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3712,1
3713,有線放送電話業,detail,371,G/37/371/3713,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3713,1
3719,その他の固定電気通信業,detail,371,G/37/371/3719,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3719,1
372,移動電気通信業,small,37,G/37/372,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/372,1
3721,移動電気通信業,detail,372,G/37/372/3721,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3721,1
373,電気通信に附帯するサービス業,small,37,G/37/373,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/373,1
3731,電気通信に附帯するサービス業,detail,373,G/37/373/3731,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3731,1
38,放送業,middle,G,G/38,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/38,1
380,管理、補助的経済活動を行う事業所（38放送業）,small,38,G/38/380,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/380,1
3800,主として管理事務を行う本社等,detail,380,G/38/380/3800,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3800,1
3809,その他の管理、補助的経済活動を行う事業所,detail,380,G/38/380/3809,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3809,1
381,公共放送業（有線放送業を除く）,small,38,G/38/381,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/381,1
3811,公共放送業（有線放送業を除く）,detail,381,G/38/381/3811,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3811,1
382,民間放送業（有線放送業を除く）,small,38,G/38/382,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/382,1
3821,テレビジョン放送業（衛星放送業を除く）,detail,382,G/38/382/3821,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3821,1
3822,ラジオ放送業（衛星放送業を除く）,detail,382,G/38/382/3822,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3822,1
3823,衛星放送業,detail,382,G/38/382/3823,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3823,1
3829,その他の民間放送業,detail,382,G/38/382/3829,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3829,1
383,有線放送業,small,38,G/38/383,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/383,1
3831,有線テレビジョン放送業,detail,383,G/38/383/3831,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3831,1
3832,有線ラジオ放送業,detail,383,G/38/383/3832,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3832,1
39,情報サービス業,middle,G,G/39,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/39,1
390,管理、補助的経済活動を行う事業所（39情報サービス業）,small,39,G/39/390,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/390,1
3900,主として管理事務を行う本社等,detail,390,G/39/390/3900,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3900,1
3909,その他の管理、補助的経済活動を行う事業所,detail,390,G/39/390/3909,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3909,1
391,ソフトウェア業,small,39,G/39/391,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/391,1
3911,受託開発ソフトウェア業,detail,391,G/39/391/3911,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3911,1
3912,組込みソフトウェア業,detail,391,G/39/391/3912,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3912,1
3913,パッケージソフトウェア業,detail,391,G/39/391/3913,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3913,1
3914,ゲームソフトウェア業,detail,391,G/39/391/3914,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3914,1
392,情報処理・提供サービス業,small,39,G/39/392,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/392,1
3921,情報処理サービス業,detail,392,G/39/392/3921,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3921,1
3922,情報提供サービス業,detail,392,G/39/392/3922,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3922,1
3923,市場調査・世論調査・社会調査業,detail,392,G/39/392/3923,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/3923,1
